rpm,engine_temp,oil_temp,oil_pressure,fuel_flow,manifold_pressure,exhaust_gas_temp,vibration,engine_load,altitude,ambient_temp,throttle,temperature_rate,vibration_rate,oil_pressure_rate,residual_engine_temp,residual_oil_pressure,residual_vibration,residual_exhaust_gas_temp,composite_residual_norm,fault_class
4627.0,112.3,98.1,3.8,21.07,27.95,765.2,1.68,70.5,9574.0,28.8,65.7,180.0,0.0,6.0,-0.5,0.03,-0.01,-0.3,0.19,NORMAL
4626.1,112.4,98.1,3.8,21.16,27.94,765.0,1.69,70.4,9574.0,28.8,65.7,240.0,6.0,0.0,-0.4,0.03,0.0,-0.3,0.19,NORMAL
4628.3,112.4,98.2,3.81,21.03,27.97,765.9,1.7,70.9,9574.0,28.8,65.7,240.0,-36.0,6.0,-0.5,0.04,0.0,-0.3,0.19,NORMAL
4626.6,112.5,98.2,3.78,21.13,27.99,764.9,1.65,70.6,9574.0,28.8,65.7,300.0,-12.0,-12.0,-0.4,0.01,-0.04,-0.8,0.17,NORMAL
4628.4,112.5,98.2,3.8,21.08,28.02,765.2,1.71,70.9,9574.0,28.8,65.7,240.0,24.0,-6.0,-0.4,0.03,0.01,-1.0,0.17,NORMAL
4626.8,112.5,98.2,3.78,21.12,27.97,765.3,1.66,70.8,9574.0,28.8,65.7,240.0,-36.0,-18.0,-0.4,0.01,-0.04,-0.7,0.16,NORMAL
4629.4,112.4,98.2,3.79,21.12,28.0,765.2,1.71,70.6,9574.0,28.8,65.7,180.0,6.0,6.0,-0.5,0.02,0.02,-0.5,0.16,NORMAL
4627.6,112.5,98.2,3.8,21.13,27.99,765.2,1.61,70.4,9574.0,28.8,65.7,240.0,-72.0,6.0,-0.3,0.03,-0.08,-0.1,0.22,NORMAL
3911.5,96.1,92.0,3.63,17.33,26.9,741.9,1.45,55.5,8714.0,23.2,49.1,-1320.0,0.0,18.0,3.3,-0.16,-0.02,0.4,1.24,NORMAL
3912.8,96.1,91.9,3.66,17.25,26.86,741.6,1.48,55.4,8714.0,23.2,49.1,-1140.0,12.0,30.0,3.4,-0.13,0.01,0.3,1.21,NORMAL
3914.3,95.9,91.7,3.65,17.45,26.93,741.7,1.47,55.5,8714.0,23.2,49.1,-1140.0,0.0,24.0,3.1,-0.14,0.0,0.2,1.16,NORMAL
3913.2,95.8,91.6,3.64,17.35,26.91,741.6,1.49,55.3,8714.0,23.2,49.1,-1080.0,30.0,12.0,3.1,-0.15,0.02,0.4,1.16,NORMAL
3913.4,95.6,91.4,3.66,17.29,26.9,741.9,1.46,55.7,8714.0,23.2,49.1,-1020.0,0.0,18.0,2.8,-0.13,-0.01,0.1,1.08,NORMAL
3914.9,95.5,91.2,3.67,17.29,26.87,741.6,1.45,55.8,8714.0,23.2,49.1,-960.0,18.0,30.0,2.7,-0.12,-0.02,-0.4,1.03,NORMAL
3917.0,95.4,91.0,3.67,17.39,26.94,741.7,1.48,55.6,8714.0,23.2,49.1,-900.0,-12.0,30.0,2.6,-0.12,0.01,0.0,0.99,NORMAL
3913.9,95.2,90.9,3.67,17.4,26.98,741.3,1.48,55.2,8714.0,23.2,49.1,-960.0,6.0,24.0,2.5,-0.12,0.01,0.3,0.97,NORMAL
3913.0,95.1,90.8,3.67,17.17,26.89,741.4,1.45,55.6,8714.0,23.2,49.1,-900.0,-12.0,30.0,2.3,-0.12,-0.02,-0.3,0.94,NORMAL
3911.6,94.9,90.7,3.67,17.45,26.88,741.8,1.45,55.8,8714.0,23.2,49.1,-960.0,-24.0,36.0,2.1,-0.12,-0.02,-0.2,0.91,NORMAL
3912.3,94.9,90.7,3.69,17.39,26.87,741.5,1.48,55.6,8714.0,23.2,49.1,-780.0,0.0,30.0,2.1,-0.1,0.01,-0.2,0.89,NORMAL
3914.0,94.8,90.6,3.7,17.3,26.87,741.0,1.48,55.4,8714.0,23.2,49.1,-780.0,18.0,42.0,2.1,-0.09,0.01,-0.3,0.86,NORMAL
3912.9,94.8,90.5,3.68,17.35,26.88,740.7,1.47,55.3,8714.0,23.2,49.1,-780.0,-6.0,12.0,2.1,-0.11,0.0,-0.5,0.87,NORMAL
3911.0,94.6,90.4,3.66,17.29,26.91,740.8,1.5,55.5,8714.0,23.2,49.1,-780.0,18.0,6.0,1.8,-0.13,0.03,-0.7,0.86,NORMAL
3910.6,94.5,90.3,3.7,17.24,26.87,740.4,1.48,55.8,8714.0,23.2,49.1,-780.0,-6.0,36.0,1.7,-0.09,0.01,-1.6,0.79,NORMAL
4718.5,102.3,90.7,4.09,24.56,31.66,769.4,1.65,72.4,5483.0,24.0,67.8,600.0,-18.0,-6.0,-1.8,0.07,-0.07,-0.5,0.5,NORMAL
4720.6,102.4,90.7,4.06,24.71,31.79,769.5,1.73,72.5,5483.0,24.0,67.8,660.0,-6.0,-12.0,-1.7,0.04,0.01,-0.6,0.44,NORMAL
4717.6,102.4,90.8,4.07,24.47,31.66,769.6,1.7,72.3,5483.0,24.0,67.8,540.0,0.0,-12.0,-1.7,0.05,-0.02,-0.2,0.44,NORMAL
4719.7,102.5,90.8,4.08,24.48,31.71,769.0,1.76,72.5,5483.0,24.0,67.8,540.0,24.0,-12.0,-1.6,0.06,0.04,-1.1,0.44,NORMAL
4719.8,102.6,90.8,4.07,24.51,31.68,770.0,1.76,72.6,5483.0,24.0,67.8,600.0,-6.0,-12.0,-1.5,0.05,0.03,-0.3,0.42,NORMAL
4718.6,102.6,90.7,4.07,24.58,31.74,770.6,1.69,72.5,5483.0,24.0,67.8,480.0,-42.0,-6.0,-1.5,0.05,-0.03,0.5,0.43,NORMAL
4718.2,102.6,90.8,4.09,24.54,31.73,770.7,1.73,72.4,5483.0,24.0,67.8,480.0,18.0,6.0,-1.5,0.07,0.01,0.8,0.44,NORMAL
4719.2,102.7,90.8,4.07,24.57,31.7,770.2,1.68,72.7,5483.0,24.0,67.8,480.0,0.0,0.0,-1.5,0.05,-0.05,-0.2,0.42,NORMAL
4721.6,102.7,90.8,4.07,24.52,31.75,770.5,1.74,72.8,5483.0,24.0,67.8,420.0,24.0,-12.0,-1.5,0.05,0.01,-0.1,0.41,NORMAL
4718.6,102.8,90.9,4.04,24.63,31.72,770.5,1.7,72.7,5483.0,24.0,67.8,360.0,-24.0,-30.0,-1.4,0.02,-0.03,0.1,0.37,NORMAL
4720.4,103.0,90.8,4.08,24.61,31.71,770.8,1.72,72.4,5483.0,24.0,67.8,480.0,-18.0,12.0,-1.1,0.06,0.0,0.9,0.39,NORMAL
4720.4,103.1,90.9,4.06,24.58,31.73,771.3,1.72,72.4,5483.0,24.0,67.8,480.0,42.0,-18.0,-1.0,0.04,0.0,1.4,0.34,NORMAL
4719.5,103.1,90.9,4.07,24.62,31.69,770.9,1.77,72.3,5483.0,24.0,67.8,420.0,24.0,6.0,-1.0,0.05,0.05,1.1,0.37,NORMAL
4716.7,103.3,90.9,4.06,24.65,31.74,770.8,1.76,72.2,5483.0,24.0,67.8,540.0,36.0,-6.0,-0.8,0.04,0.04,1.2,0.34,NORMAL
4717.8,103.3,91.0,4.08,24.63,31.73,771.0,1.68,72.7,5483.0,24.0,67.8,480.0,-48.0,0.0,-0.9,0.06,-0.05,0.6,0.36,NORMAL
5013.5,95.4,87.0,4.33,23.4,27.66,785.2,1.76,78.8,11110.0,7.0,74.6,-660.0,-54.0,18.0,1.5,-0.1,-0.07,0.2,0.66,NORMAL
5014.4,95.3,87.0,4.33,23.39,27.72,786.1,1.79,79.0,11110.0,7.0,74.6,-600.0,-12.0,12.0,1.4,-0.1,-0.04,0.8,0.64,NORMAL
5016.1,95.3,86.9,4.34,23.36,27.62,786.2,1.88,78.5,11110.0,7.0,74.6,-540.0,48.0,18.0,1.5,-0.09,0.05,1.7,0.65,NORMAL
5017.5,95.3,86.8,4.35,23.68,27.8,785.4,1.8,78.7,11110.0,7.0,74.6,-480.0,-42.0,24.0,1.4,-0.08,-0.03,0.6,0.6,NORMAL
5016.7,95.2,86.8,4.36,23.57,27.73,784.7,1.81,78.8,11110.0,7.0,74.6,-540.0,-24.0,24.0,1.3,-0.07,-0.02,-0.3,0.56,NORMAL
5017.1,95.2,86.7,4.32,23.64,27.74,785.3,1.81,78.9,11110.0,7.0,74.6,-420.0,-18.0,0.0,1.3,-0.11,-0.02,0.1,0.6,NORMAL
5016.2,95.1,86.6,4.37,23.5,27.73,785.5,1.89,79.0,11110.0,7.0,74.6,-480.0,48.0,18.0,1.2,-0.06,0.06,0.2,0.52,NORMAL
5015.4,95.2,86.5,4.35,23.56,27.74,785.2,1.81,78.7,11110.0,7.0,74.6,-360.0,-24.0,12.0,1.3,-0.08,-0.02,0.4,0.54,NORMAL
5010.2,95.1,86.5,4.35,23.39,27.66,784.8,1.83,78.6,11110.0,7.0,74.6,-360.0,6.0,6.0,1.2,-0.08,0.0,0.1,0.54,NORMAL
5014.0,95.0,86.4,4.37,23.35,27.72,784.9,1.78,78.6,11110.0,7.0,74.6,-360.0,-6.0,24.0,1.1,-0.06,-0.05,0.2,0.5,NORMAL
5013.8,95.0,86.4,4.36,23.5,27.76,785.4,1.82,78.6,11110.0,7.0,74.6,-360.0,-12.0,12.0,1.1,-0.07,-0.01,0.7,0.5,NORMAL
5013.5,94.9,86.3,4.35,23.61,27.68,784.6,1.85,78.7,11110.0,7.0,74.6,-300.0,54.0,12.0,1.0,-0.08,0.02,-0.2,0.49,NORMAL
5014.7,94.9,86.3,4.37,23.47,27.72,784.3,1.86,79.1,11110.0,7.0,74.6,-240.0,42.0,24.0,1.0,-0.06,0.03,-1.2,0.45,NORMAL
5015.4,94.8,86.2,4.38,23.64,27.66,783.9,1.79,78.7,11110.0,7.0,74.6,-300.0,-54.0,24.0,0.9,-0.05,-0.04,-0.9,0.44,NORMAL
5015.3,94.8,86.2,4.37,23.47,27.74,784.6,1.82,79.0,11110.0,7.0,74.6,-300.0,12.0,12.0,0.9,-0.06,-0.01,-0.7,0.42,NORMAL
4715.0,86.9,82.7,4.34,24.9,31.17,772.6,1.76,72.4,6105.0,6.7,67.6,-660.0,30.0,30.0,1.5,-0.07,0.04,-1.6,0.63,NORMAL
4716.8,86.8,82.6,4.35,24.72,31.13,773.6,1.77,72.6,6105.0,6.7,67.6,-660.0,24.0,30.0,1.4,-0.06,0.05,-1.0,0.6,NORMAL
4715.4,86.8,82.6,4.32,24.77,31.13,773.9,1.75,72.6,6105.0,6.7,67.6,-540.0,18.0,24.0,1.4,-0.09,0.03,-0.7,0.62,NORMAL
4716.6,86.7,82.5,4.35,25.02,31.19,774.4,1.74,72.5,6105.0,6.7,67.6,-600.0,18.0,18.0,1.3,-0.06,0.02,0.0,0.58,NORMAL
4718.0,86.7,82.4,4.33,24.86,31.1,774.5,1.68,72.4,6105.0,6.7,67.6,-480.0,-24.0,24.0,1.3,-0.08,-0.04,0.3,0.58,NORMAL
4714.5,86.7,82.4,4.34,25.01,31.17,775.0,1.7,72.8,6105.0,6.7,67.6,-420.0,-42.0,12.0,1.2,-0.07,-0.02,0.1,0.56,NORMAL
4715.1,86.5,82.3,4.33,24.87,31.12,775.3,1.75,72.7,6105.0,6.7,67.6,-480.0,54.0,12.0,1.0,-0.08,0.03,0.6,0.54,NORMAL
4711.4,86.5,82.2,4.35,24.83,31.16,774.6,1.7,72.4,6105.0,6.7,67.6,-420.0,18.0,18.0,1.1,-0.06,-0.02,0.4,0.5,NORMAL
4712.3,86.4,82.2,4.33,24.86,31.18,774.3,1.73,72.2,6105.0,6.7,67.6,-420.0,-6.0,12.0,1.0,-0.08,0.01,0.4,0.52,NORMAL
4711.5,86.4,82.1,4.35,24.94,31.19,774.2,1.71,72.6,6105.0,6.7,67.6,-420.0,-6.0,12.0,1.0,-0.06,-0.01,-0.4,0.48,NORMAL
4715.6,86.3,82.0,4.36,24.85,31.16,774.4,1.81,72.6,6105.0,6.7,67.6,-420.0,60.0,18.0,0.9,-0.05,0.09,-0.2,0.48,NORMAL
4715.4,86.3,82.0,4.33,24.88,31.15,774.0,1.72,72.7,6105.0,6.7,67.6,-360.0,-24.0,-6.0,0.8,-0.08,0.0,-0.7,0.48,NORMAL
4716.6,86.3,82.0,4.36,24.86,31.11,774.2,1.7,72.3,6105.0,6.7,67.6,-300.0,-42.0,6.0,0.9,-0.05,-0.02,0.1,0.45,NORMAL
4714.5,86.3,81.9,4.36,24.91,31.16,774.3,1.68,72.4,6105.0,6.7,67.6,-300.0,-42.0,24.0,0.9,-0.05,-0.04,0.1,0.44,NORMAL
4714.3,86.3,81.8,4.35,24.92,31.17,774.1,1.73,72.3,6105.0,6.7,67.6,-240.0,-6.0,0.0,0.9,-0.06,0.01,0.0,0.42,NORMAL
4335.3,87.4,81.3,4.19,18.77,25.73,759.3,1.61,64.6,11558.0,9.9,58.9,120.0,6.0,18.0,0.0,0.02,0.01,-0.9,0.08,NORMAL
4338.1,87.3,81.2,4.17,18.77,25.69,760.2,1.61,64.6,11558.0,9.9,58.9,60.0,-12.0,-6.0,-0.1,0.0,0.01,0.0,0.05,NORMAL
4338.3,87.3,81.2,4.17,18.76,25.72,760.3,1.6,64.5,11558.0,9.9,58.9,60.0,-18.0,-6.0,-0.1,0.0,0.0,0.2,0.05,NORMAL
4338.9,87.3,81.2,4.18,18.82,25.7,760.0,1.6,64.5,11558.0,9.9,58.9,120.0,-12.0,0.0,-0.1,0.01,0.0,-0.1,0.07,NORMAL
4338.6,87.4,81.2,4.18,18.76,25.69,759.2,1.59,64.4,11558.0,9.9,58.9,120.0,-30.0,-6.0,0.0,0.01,-0.01,-0.7,0.06,NORMAL
4336.1,87.3,81.2,4.18,18.81,25.75,759.9,1.61,64.7,11558.0,9.9,58.9,60.0,6.0,6.0,-0.1,0.01,0.01,-0.5,0.08,NORMAL
4337.8,87.4,81.2,4.18,18.68,25.67,760.6,1.6,64.8,11558.0,9.9,58.9,60.0,6.0,0.0,0.0,0.01,0.0,0.0,0.06,NORMAL
4337.7,87.4,81.3,4.16,18.76,25.65,761.1,1.63,64.6,11558.0,9.9,58.9,60.0,30.0,-18.0,0.0,-0.01,0.03,0.9,0.08,NORMAL
4335.3,87.3,81.3,4.18,18.68,25.71,761.2,1.56,64.6,11558.0,9.9,58.9,0.0,0.0,0.0,-0.1,0.01,-0.04,1.0,0.11,NORMAL
4332.9,87.3,81.3,4.16,18.69,25.7,761.3,1.59,64.2,11558.0,9.9,58.9,0.0,0.0,-18.0,0.0,-0.01,-0.01,1.7,0.1,NORMAL
4334.7,87.3,81.2,4.18,18.79,25.7,760.4,1.58,64.7,11558.0,9.9,58.9,-60.0,18.0,0.0,-0.1,0.01,-0.02,0.0,0.07,NORMAL
4333.8,87.3,81.2,4.19,18.67,25.64,758.5,1.64,64.4,11558.0,9.9,58.9,-60.0,18.0,0.0,-0.1,0.02,0.04,-1.4,0.14,NORMAL
4336.5,87.3,81.2,4.19,18.71,25.72,757.2,1.55,64.1,11558.0,9.9,58.9,0.0,-36.0,12.0,0.0,0.02,-0.05,-2.2,0.16,NORMAL
4334.9,87.4,81.2,4.16,18.65,25.66,758.4,1.55,64.4,11558.0,9.9,58.9,60.0,-30.0,-6.0,0.0,-0.01,-0.05,-1.5,0.14,NORMAL
4334.0,87.3,81.2,4.19,18.81,25.76,759.3,1.58,64.7,11558.0,9.9,58.9,0.0,-12.0,6.0,-0.1,0.02,-0.02,-1.1,0.12,NORMAL
4601.0,94.1,84.1,4.22,19.85,25.86,767.5,1.7,70.0,12152.0,13.3,65.0,480.0,-18.0,-18.0,-1.3,0.06,0.01,-1.0,0.5,NORMAL
4599.9,94.2,84.1,4.22,19.91,25.92,767.6,1.66,70.1,12152.0,13.3,65.0,480.0,0.0,-18.0,-1.3,0.07,-0.03,-1.1,0.53,NORMAL
4601.4,94.2,84.2,4.21,19.93,25.9,769.0,1.73,70.1,12152.0,13.3,65.0,360.0,36.0,-24.0,-1.3,0.06,0.04,0.3,0.5,NORMAL
4601.6,94.2,84.3,4.21,19.92,25.89,768.9,1.7,70.3,12152.0,13.3,65.0,300.0,30.0,-18.0,-1.3,0.06,0.01,-0.1,0.48,NORMAL
4598.3,94.2,84.3,4.24,19.79,25.79,769.6,1.63,70.1,12152.0,13.3,65.0,240.0,-36.0,12.0,-1.3,0.09,-0.06,0.9,0.55,NORMAL
4599.8,94.3,84.3,4.22,19.98,25.9,769.3,1.66,70.2,12152.0,13.3,65.0,300.0,-30.0,-6.0,-1.2,0.07,-0.03,0.4,0.49,NORMAL
4599.1,94.4,84.4,4.21,19.88,25.87,768.8,1.66,70.0,12152.0,13.3,65.0,300.0,-36.0,-12.0,-1.0,0.05,-0.03,0.3,0.42,NORMAL
4598.2,94.4,84.4,4.22,19.91,25.96,768.9,1.72,69.7,12152.0,13.3,65.0,300.0,18.0,-6.0,-1.0,0.06,0.04,0.9,0.44,NORMAL
4599.5,94.5,84.5,4.2,20.01,25.9,768.6,1.73,70.1,12152.0,13.3,65.0,300.0,36.0,-24.0,-1.0,0.05,0.04,-0.1,0.43,NORMAL
4598.7,94.6,84.5,4.2,19.94,25.98,768.1,1.7,69.6,12152.0,13.3,65.0,360.0,-30.0,-12.0,-0.8,0.04,0.02,0.2,0.38,NORMAL
4596.8,94.7,84.6,4.22,19.87,25.94,768.2,1.69,69.9,12152.0,13.3,65.0,420.0,12.0,-6.0,-0.7,0.06,0.0,-0.2,0.38,NORMAL
4596.7,94.7,84.6,4.22,19.9,25.91,767.9,1.69,70.3,12152.0,13.3,65.0,360.0,-6.0,0.0,-0.8,0.07,0.0,-1.1,0.42,NORMAL
4599.7,94.8,84.7,4.21,19.85,25.87,768.8,1.68,70.0,12152.0,13.3,65.0,360.0,12.0,-6.0,-0.6,0.05,-0.01,0.3,0.35,NORMAL
4599.3,94.8,84.7,4.19,19.9,25.89,768.0,1.69,70.1,12152.0,13.3,65.0,360.0,-24.0,-12.0,-0.7,0.04,0.0,-0.7,0.36,NORMAL
4601.1,94.8,84.7,4.22,19.89,25.89,767.9,1.66,70.2,12152.0,13.3,65.0,360.0,-24.0,6.0,-0.7,0.07,-0.03,-1.0,0.4,NORMAL
4728.2,90.5,83.2,4.33,22.04,27.52,773.1,1.74,72.8,10428.0,7.4,67.9,-300.0,24.0,30.0,1.0,-0.02,0.01,-1.6,0.27,NORMAL
4726.8,90.4,83.2,4.33,22.07,27.52,772.2,1.73,72.6,10428.0,7.4,67.9,-360.0,0.0,18.0,0.9,-0.02,0.0,-2.2,0.29,NORMAL
4728.9,90.4,83.1,4.32,21.93,27.51,772.0,1.7,72.8,10428.0,7.4,67.9,-300.0,-12.0,6.0,0.9,-0.03,-0.03,-2.7,0.28,NORMAL
4726.2,90.4,83.1,4.33,22.06,27.52,772.6,1.68,72.8,10428.0,7.4,67.9,-240.0,-72.0,18.0,0.9,-0.02,-0.05,-2.1,0.27,NORMAL
4728.2,90.4,83.1,4.3,21.89,27.48,773.6,1.73,72.9,10428.0,7.4,67.9,-240.0,6.0,6.0,0.9,-0.05,0.0,-1.3,0.29,NORMAL
4724.9,90.3,83.1,4.32,21.89,27.46,773.7,1.72,72.9,10428.0,7.4,67.9,-240.0,-12.0,-6.0,0.8,-0.03,-0.01,-1.2,0.25,NORMAL
4723.6,90.3,83.1,4.3,22.01,27.55,773.6,1.71,72.8,10428.0,7.4,67.9,-240.0,-36.0,-12.0,0.8,-0.05,-0.02,-1.1,0.27,NORMAL
4727.5,90.2,83.2,4.31,22.04,27.5,773.7,1.73,72.5,10428.0,7.4,67.9,-240.0,-18.0,6.0,0.7,-0.04,0.0,-0.5,0.28,NORMAL
4725.0,90.2,83.2,4.31,22.05,27.52,774.4,1.75,72.4,10428.0,7.4,67.9,-240.0,12.0,0.0,0.7,-0.04,0.02,0.3,0.28,NORMAL
4725.1,90.2,83.2,4.32,21.98,27.54,775.1,1.64,72.5,10428.0,7.4,67.9,-240.0,-30.0,0.0,0.7,-0.03,-0.09,0.9,0.32,NORMAL
4726.2,90.2,83.2,4.33,21.83,27.45,774.4,1.74,72.6,10428.0,7.4,67.9,-180.0,18.0,12.0,0.7,-0.02,0.01,0.0,0.27,NORMAL
4725.3,90.2,83.1,4.33,21.95,27.46,773.7,1.75,72.7,10428.0,7.4,67.9,-180.0,6.0,0.0,0.7,-0.02,0.02,-0.9,0.25,NORMAL
4724.7,90.2,83.1,4.32,21.98,27.48,773.8,1.68,72.6,10428.0,7.4,67.9,-120.0,-30.0,-6.0,0.7,-0.03,-0.05,-0.6,0.27,NORMAL
4725.5,90.1,83.1,4.32,22.05,27.54,773.4,1.76,72.3,10428.0,7.4,67.9,-180.0,36.0,0.0,0.6,-0.03,0.03,-0.5,0.25,NORMAL
4723.1,90.2,83.1,4.32,21.92,27.59,773.6,1.75,72.6,10428.0,7.4,67.9,-120.0,42.0,-6.0,0.7,-0.03,0.02,-0.8,0.26,NORMAL
